lng,lat
73.456,15.8899
73.456,15.8896
73.4563,15.8896
73.4563,15.8893
73.4565,15.8893
73.4565,15.8888
73.4568,15.8888
73.4568,15.8871
73.4563,15.8871
73.4563,15.8874
73.456,15.8874
73.456,15.8876
73.4557,15.8876
73.4557,15.8879
73.4554,15.8879
73.4554,15.8882
73.4549,15.8882
73.4549,15.8885
73.4546,15.8885
73.4546,15.8896
73.4549,15.8896
73.4549,15.8899
73.456,15.8899
73.4626,15.8904
73.4626,15.8902
73.4635,15.8902
73.4635,15.8899
73.464,15.8899
73.464,15.8896
73.4643,15.8896
73.4643,15.8887
73.4646,15.8888
73.4646,15.8871
73.4643,15.8871
73.4643,15.8868
73.4638,15.8868
73.4638,15.8871
73.4635,15.8871
73.4635,15.8879
73.4632,15.8879
73.4632,15.8885
73.4626,15.8885
73.4626,15.8888
73.4618,15.8888
73.4618,15.889
73.4615,15.889
73.4615,15.8899
73.4618,15.8899
73.4618,15.8902
73.4621,15.8902
73.4621,15.8904
73.4626,15.8904
73.4662,15.896
73.4662,15.8957
73.4668,15.8957
73.4668,15.8954
73.4671,15.8954
73.4671,15.8951
73.4674,15.8951
73.4674,15.8946
73.4676,15.8946
73.4676,15.894
73.4674,15.894
73.4674,15.8935
73.4662,15.8935
73.4662,15.8938
73.466,15.8938
73.466,15.894
73.4657,15.894
73.4657,15.8943
73.4654,15.8943
73.4654,15.8949
73.4651,15.8949
73.4651,15.8957
73.4654,15.8957
73.4654,15.896
73.4662,15.896
73.4432,16.1026
73.4432,16.1024
73.4435,16.1024
73.4435,16.1021
73.4437,16.1021
73.4437,16.1018
73.444,16.1018
73.444,16.1015
73.4443,16.1015
73.4443,16.1001
73.444,16.1001
73.444,16.0999
73.4437,16.0999
73.4437,16.0996
73.4435,16.0996
73.4435,16.0999
73.4432,16.0999
73.4432,16.1001
73.4429,16.1001
73.4429,16.1004
73.4426,16.1004
73.4426,16.101
73.4424,16.101
73.4424,16.1026
73.4432,16.1026
73.4601,16.0457
73.4601,16.0454
73.4604,16.0454
73.4604,16.0451
73.461,16.0451
73.461,16.0449
73.4615,16.0449
73.4615,16.0446
73.4621,16.0446
73.4621,16.0443
73.4624,16.0443
73.4624,16.0435
73.4621,16.0435
73.4621,16.0432
73.4618,16.0432
73.4618,16.0429
73.4615,16.0429
73.4615,16.0413
73.4618,16.0413
73.4618,16.0407
73.4621,16.0407
73.4621,16.0404
73.4618,16.0404
73.4618,16.0396
73.4615,16.0396
73.4615,16.039
73.4613,16.039
73.4613,16.0388
73.4604,16.0388
73.4604,16.039
73.4599,16.039
73.4599,16.0393
73.4596,16.0393
73.4596,16.0396
73.4593,16.0396
73.4593,16.0399
73.459,16.0399
73.459,16.0401
73.4585,16.0401
73.4585,16.0404
73.4574,16.0404
73.4574,16.0407
73.4571,16.0407
73.4571,16.0418
73.4574,16.0418
73.4574,16.0426
73.4576,16.0426
73.4576,16.0432
73.4579,16.0432
73.4579,16.0435
73.4582,16.0435
73.4582,16.044
73.4585,16.044
73.4585,16.0443
73.4587,16.0443
73.4587,16.0457
73.4601,16.0457
73.0382,18.0521
73.0382,18.0515
73.0385,18.0515
73.0385,18.051
73.0387,18.051
73.0387,18.0501
73.0376,18.0501
73.0376,18.0504
73.0368,18.0504
73.0368,18.0507
73.0365,18.0507
73.0365,18.0515
73.0368,18.0515
73.0368,18.0518
73.0379,18.0518
73.0379,18.0521
73.0382,18.0521
72.966,18.3013
72.966,18.3001
72.9665,18.3001
72.9665,18.2999
72.9668,18.2999
72.9668,18.2996
72.9671,18.2996
72.9671,18.2993
72.9668,18.2993
72.9668,18.299
72.9665,18.299
72.9665,18.2988
72.966,18.2988
72.966,18.2985
72.9635,18.2985
72.9635,18.299
72.9632,18.299
72.9632,18.2993
72.9629,18.2993
72.9629,18.2999
72.9626,18.2999
72.9626,18.3001
72.9629,18.3001
72.9629,18.3007
72.9638,18.3007
72.9638,18.301
72.9649,18.301
72.9649,18.3013
72.966,18.3013
73.0785,18.3101
73.0785,18.3104
73.079,18.3104
73.079,18.3101
73.0793,18.3101
73.0793,18.3099
73.0796,18.3099
73.0796,18.3093
73.0799,18.3093
73.0799,18.309
73.0796,18.309
73.0796,18.3087
73.0799,18.3087
73.0799,18.3085
73.0796,18.3085
73.0796,18.3071
73.0793,18.3071
73.0793,18.3062
73.079,18.3062
73.079,18.306
73.0785,18.306
73.0785,18.3057
73.0779,18.3057
73.0779,18.3054
73.0777,18.3054
73.0777,18.3051
73.0771,18.3051
73.0771,18.3049
73.0762,18.3049
73.0762,18.3054
73.076,18.3054
73.076,18.3057
73.0757,18.3057
73.0757,18.306
73.0754,18.306
73.0754,18.3065
73.0757,18.3065
73.0757,18.3079
73.0762,18.3079
73.0762,18.3085
73.0768,18.3085
73.0768,18.3087
73.0771,18.3087
73.0771,18.3093
73.0777,18.3093
73.0777,18.3099
73.0779,18.3099
73.0779,18.3101
73.0785,18.3101
73.0818,18.3218
73.0818,18.3221
73.0821,18.3221
73.0821,18.3213
73.0824,18.3213
73.0824,18.321
73.0821,18.321
73.0821,18.319
73.0818,18.319
73.0818,18.3188
73.0813,18.3188
73.0813,18.319
73.0804,18.319
73.0804,18.3196
73.0807,18.3196
73.0807,18.3201
73.081,18.3201
73.081,18.3207
73.0813,18.3207
73.0813,18.3215
73.0815,18.3215
73.0815,18.3218
73.0818,18.3218
73.0843,17.8188
73.0843,17.8185
73.0846,17.8185
73.0846,17.8182
73.0849,17.8182
73.0849,17.8179
73.0851,17.8179
73.0851,17.8176
73.0854,17.8176
73.0854,17.8174
73.0857,17.8174
73.0857,17.8171
73.086,17.8171
73.086,17.8165
73.0857,17.8165
73.0857,17.8157
73.0854,17.8157
73.0854,17.8149
73.0849,17.8149
