lng,lat
139.6922,35.6897
106.8451,-6.2146
77.23,28.66
72.8333,18.9667
120.9772,14.5958
121.4667,31.1667
-46.6339,-23.5504
127,37.5833
-99.1333,19.4333
113.259,23.1288
116.3914,39.905
31.2394,30.0561
-73.9249,40.6943
88.3378,22.5411
37.6178,55.7558
100.5167,13.75
-58.3819,-34.5997
114.054,22.535
90.3961,23.7161
3.4,6.45
28.9603,41.01
135.5019,34.6936
67.01,24.86
77.598,12.9699
51.4167,35.7
15.3139,-4.3317
106.6333,10.8167
-118.4068,34.1139
-43.1964,-22.9083
112.5292,32.9987
80.275,13.0825
104.0667,30.6636
74.3436,31.5497
2.3522,48.8566
-0.1275,51.5072
118.3425,35.0606
117.2056,39.1467
114.5086,38.0422
115.4845,38.8671
114.6418,33.625
-77.0333,-12.05
78.4667,17.3667
-74.0705,4.6126
119.1,36.7167
136.9333,35.1167
114.2881,30.5872
115.4333,35.2333
114.9336,25.8292
117.1859,34.261
-87.6862,41.8373
114.4894,36.6116
13.2344,-8.8383
115.8045,32.8986
101.6953,3.1478
116.5667,35.4
113.7493,23.0475
105.8412,21.0245
73.8553,18.5196
106.5069,29.55
125.2,43.9
114.0253,32.9773
121.5492,29.875
6.7833,6.1667
118.7667,32.05
117.2808,31.8639
72.58,23.03
114.185,22.305
32.5265,15.6031
120.8873,31.9829
120.1339,33.3936
113.1056,23.0292
108.315,22.8192
112.5857,26.8968
108.9,34.2667
123.4258,41.8039
118.1742,39.6292
111.4725,27.2418
112.9709,28.1987
-70.6667,-33.45
113.6605,34.7492
110.4031,21.1967
46.71,24.65
116.8452,38.3037
39.2833,-6.8
110.9178,21.6618
114.875,30.45
114.0672,32.1264
117.9633,28.4419
112.4245,34.6587
105.2863,27.3019
121.2664,37.3997
118.5858,24.9139
120.1675,30.25
-80.2102,25.7839
102.7061,25.0433
106.0784,30.7991
106.9336,27.705
116.5078,31.7542
114.383,27.8041
121.4221,28.6583
115.9833,36.45
103.8029,25.5102
112.1531,32.0654
72.83,21.17
44.4167,33.35
120.4,36.1167
103.8,1.3
-96.7662,32.7936
111.6839,29.0397
107.4947,31.2152
116.9683,33.6333
-75.1339,40.0077
116.3649,23.5533
36.8172,-1.2864
113.8851,35.2992
32.85,39.93
117.0809,36.2001
110.1507,22.6293
116.3105,37.4513
-95.3889,29.7863
-84.4224,33.7627
96.15,16.8
-79.3733,43.7417
126.9808,46.6384
-77.0163,38.9047
123.9512,47.3398
119.6494,29.1046
30.3167,59.95
116.6941,23.3735
151.2094,-33.865
109.4684,34.4996
118.2831,33.9331
-103.3475,20.6767
120.6164,31.304
119.2917,26.0769
103.7144,27.3328
121.5397,31.2231
111.5953,26.4515
-43.9478,-19.8917
117.6612,24.5093
115.7742,33.8626
144.9631,-37.8136
115.8872,28.6842
108.7167,34.35
119.9,32.4831
112.7378,-7.2458
-4.0267,5.3364
114.9793,27.1172
104.7385,31.4669
120.5833,30
29.9167,31.2
110.998,35.0304
113.2999,33.735
119.1331,33.5
119.1801,34.5906
110.2833,25.2667
109.9592,27.5494
116.0021,29.7048
117.0333,30.5
-71.0846,42.3188
114.3403,34.7936
113.911,30.9273
119.9692,31.8122
2.1769,41.3825
113.0267,25.7989
120.2833,31.5667
118.0497,36.7831
120.75,30.7522
121.61,38.9131
126.6333,45.75
119.4363,32.3912
104.64,28.7596
113.0833,22.5833
28.0416,-26.2044
116.1191,24.2998
118.9223,42.2663
-7.62,33.5992
106.7078,26.5794
116.7006,39.5196
114.8811,40.8108
27.1384,38.4127
111.5087,36.0812
120.6561,27.9991
-100.3,25.6667
105.4409,28.8918
113.8201,34.0244
105.0635,29.5872
-112.0891,33.5722
104.6397,30.1256
112.3333,28.5833
112.465,23.047
115.686,37.7348
109.6092,23.0961
111.2803,30.7083
118.0819,24.4797
118.3115,32.3062
116.3577,27.9814
35.9333,31.95
39.1728,21.5428
74.5333,32.5
114.4152,23.1115
113.0507,23.6842
113.1469,27.8407
118.3622,31.334
109.6091,23.0965
-122.3244,47.6211
111.9974,27.7378
118.0125,37.3806
109.4069,24.3181
139.6333,35.4333
107.1751,34.3609
106.6336,30.4673
107.026,33.0794
69.1658,34.5328
117.55,34.8667
13.3833,52.5167
122.9895,41.1066
104.395,31.1289
103.8318,36.0617
117.9322,40.9739
-122.443,37.7562
115.03,35.7639
105.5737,30.5098
113.2304,35.229
117.3531,32.9354
-73.5617,45.5089
-83.1024,42.3834
106.6194,23.901
129.0403,35.1
3.0586,36.7764
105.7311,34.5809
112.5425,37.8733
80.947,26.847
120.4486,41.5757
